nombre,email,cargo,prioridad,estado,fecha
CPC Cultural Premium Connection,hola@cpc-spain.com,General,ALTA,ENVIADO,2026-02-16
CPC Cultural Premium Connection,contacto@cpc-spain.com,General,ALTA,ENVIADO,2026-02-16
CPC Cultural Premium Connection,info@cpcspain.com,General,ALTA,ENVIADO,2026-02-16
Art Factory,hola@artfactory.es,General,ALTA,ENVIADO,2026-02-16
Art Factory,contacto@artfactory.es,General,ALTA,ENVIADO,2026-02-16
Art Factory,info@artfactory.es,General,ALTA,ENVIADO,2026-02-16
4U Artists,hola@4uartists.com,General,ALTA,ENVIADO,2026-02-16
4U Artists,contacto@4uartists.com,General,ALTA,ENVIADO,2026-02-16
ShowTime Artists,hola@showtimeartists.com,General,ALTA,ENVIADO,2026-02-16
ShowTime Artists,contacto@showtimeartists.com,General,ALTA,ENVIADO,2026-02-16
Tot Art,hola@totart.com,General,ALTA,ENVIADO,2026-02-16
Tot Art,contacto@totart.com,General,ALTA,ENVIADO,2026-02-16
Viajes El Corte Inglés,viajes@elcorteingles.com,Eventos,ALTA,ENVIADO,2026-02-16
Viajes El Corte Inglés,corporativo@elcorteingles.com,Eventos,ALTA,ENVIADO,2026-02-16
Logitravel,prensa@logitravel.com,Prensa,ALTA,ENVIADO,2026-02-16
Logitravel,info@logitravel.com,General,ALTA,ENVIADO,2026-02-16
Atrápalo,prensa@atrapalo.com,Prensa,ALTA,ENVIADO,2026-02-16
Atrápalo,info@atrapalo.com,General,ALTA,ENVIADO,2026-02-16
Rumbo,info@rumbo.es,General,ALTA,ENVIADO,2026-02-16
Rumbo,prensa@rumbo.es,Prensa,ALTA,ENVIADO,2026-02-16
Skyscanner,press@skyscanner.com,Prensa,ALTA,ENVIADO,2026-02-16
Skyscanner,info@skyscanner.com,General,ALTA,ENVIADO,2026-02-16
Kayak,press@kayak.com,Prensa,ALTA,ENVIADO,2026-02-16
Kayak,support@kayak.com,Soporte,ALTA,ENVIADO,2026-02-16
Travelocity,contact@travelocity.com,General,ALTA,ENVIADO,2026-02-16
Travelocity,support@travelocity.com,Soporte,ALTA,ENVIADO,2026-02-16
eDreams,info@edreams.com,General,ALTA,ENVIADO,2026-02-16
eDreams,prensa@edreams.com,Prensa,ALTA,ENVIADO,2026-02-16
Bonadventure,info@bonadventure.com,General,ALTA,ENVIADO,2026-02-16
Bonadventure,contacto@bonadventure.com,General,ALTA,ENVIADO,2026-02-16
Exoticca,info@exoticca.com,General,ALTA,ENVIADO,2026-02-16
Exoticca,prensa@exoticca.com,Prensa,ALTA,ENVIADO,2026-02-16
